term_id,name,slug,description,parent_id,parent_name,post_count,brand_url,brandimage,brand_short_description,brand_second_description,rehub_user_rate,rehub_users_num,heading_title,cashback_notice
138,AppsFomo,appsfomo,"Appsfomo is a site dedicated to giving you all the information about any apps or software you are looking for. It's an informative and helpful website that will provide links to where you can find discounted apps, so that you can save money on your purchases!",0,,34,,https://wpappsfomo.test/wp-content/uploads/2020/09/logo-creator-for-a-technology-focused-enterprise-549a-el113.png,,,4,1,,
146,AppSumo,appsumo,"AppSumo is a daily deals website for digital products and SaaS tools. They offer bundles of products that are normally too expensive to buy individually, but you get them at an exclusive price that's much lower than the sum of their individual prices.",0,,422,https://shop.appsfomo.com/p/tU9x,https://wpappsfomo.test/wp-content/uploads/2020/09/appsumo-deals.jpg,,,5,1,,
984,Bitsdujour,bitsdujour,"BitsDuJour offers software at a great discounts from leading vendors. One of the online marketplace for discounted digital goods. BitsDuJour has grown significantly through the word-of-mouth referrals from satisfied customers.",0,,1,,https://wpappsfomo.test/wp-content/uploads/2022/12/1671111000121.jpeg,,,,,,
233,DealFuel,dealfuel,"DealFuel is a one-stop shop for cool Tech Deals & amazing offers for web developers, designers, marketers, businesses, bloggers & freelancers. It is packed with WordPress Themes, Plugins, Website & SEO Tools, Softwares, e-Courses, Designer deals like Web Fonts, Icons, Graphics, Overlays, Textures and loads of other goodies.",0,,13,,https://wpappsfomo.test/wp-content/uploads/2020/09/dealfuel.jpg,,"Dealfuel.com is the house of the latest and coolest tech deals in the web world. From the parent company Hummingbird Web Solutions Pvt. Ltd., we inherit the knack of building a team that is not just professionally committed but also jovially creative. It is out of individual talent and collective craziness that we bring about amazing packages.",5,1,,
317,Dealify,dealify,"Dealify is one of the reliable source for Lifetime deals Deals. It is a deals platform that curates and brings software tools at a highly discounted price and exclusive offers from leading brands around the world.",0,,82,,https://wpappsfomo.test/wp-content/uploads/2020/09/dealify.jpg,,,13,3,,
315,DealMirror,dealmirror,"Dealmirror is the hub for entrepreneurs which is packed up with Apps, Subscriptions & Softwares, SaaS, Digital Goods/Downloadable Files & Courses and more.",0,,43,https://dealmirror.com/?ref=interstellar.consulting,https://wpappsfomo.test/wp-content/uploads/2020/07/Dealmirrror-logo-4.png,,,,,,
2375,DigitalThink,digitalthink,"Digitalthink focuses on helping it's community find affordable technology providing digital goods on it's marketplace. From finding the perfect product to providing excellent customer service after you purchase it.",0,,8,https://digitalthink.io/?ref=sloginDeal,https://wpappsfomo.test/wp-content/uploads/2022/12/1671111007888.png,,,,,,
316,Greendeals,greendeals,"Companies, co-governments and groups of citizens sometimes encounter barriers when implementing sustainable initiatives. The Green Deal approach is there to take that away.",0,,0,,https://wpappsfomo.test/wp-content/uploads/2020/09/green-deals.jpg,,"The Netherlands Enterprise Agency (RVO.nl) supports the Ministries of Economic Affairs and Climate, Infrastructure and Water Management, Home Affairs and Kingdom Relations and Agriculture, Nature and Food Quality in implementing Green Deals.",,,,
4918,"Humble Bundle",humble-bundle,"Humble Bundle offers great deals on games, software, books, and more. They are known for their high-value gaming bundles with a unique pricing model. They offer a subscription service called Humble Choice that provides access to more cool stuff, including DRM-free content and discounts in the Humble Store",0,,0,https://shop.appsfomo.com/p/dO0P/r,https://wpappsfomo.test/wp-content/uploads/2023/04/04eTthJKDqeeo2NKNHv4nIM-2.png,,,,,,
983,"LifeTime Deals",lifetimedeals,"Lifetime Deals is the digital goods platform based in California. With a wide range of items including electronics, software tools and downloadable goods. They provide a safe shopping experience for all customers to enjoy.",0,,0,,https://wpappsfomo.test/wp-content/uploads/2022/12/1671111014212.png,,,5,1,,
318,LTDhunt,ltdhunt,"LTDhunt is the a marketplace to explore and buy Lifetime deals. They have a large community on facebook, with constantly finding lifetime products at an amazing price. LTDhunt brings you all the best deals in one place, so you don't miss out on anything!",0,,1,,https://wpappsfomo.test/wp-content/uploads/2020/09/ltd-hunt.jpg,,,5,1,,
312,Pitchground,pitchground,"PitchGround is one of the leading community of Marketers, Entrepreneurs, SaaS Founders. They have online platform for exclusive deals from sellers worldwide. They help people so they can grow as leaders and entrepreneurs.",0,,135,,https://wpappsfomo.test/wp-content/uploads/2020/09/pitchground.jpg,,,3,1,,
313,ProductHunt,producthunt,"ProductHunt is a platform for sharing and exploring new products. One of the top websites for discovering new software tech products. They have a large collection of daily hunts, which includes apps, gadgets and emerging trends in hardware, software, gaming and design.",0,,0,,https://wpappsfomo.test/wp-content/uploads/2020/09/product-hunt.jpg,,,,,,
139,Rebeliance,rebeliance,"Rebelliance is the a new platform for exploring Lifetime Deals . Rebelliance provides customers with a products mainly in categories of Marketing, Productivity, SaaS, and more! You're guaranteed to find something you'll love at an unbeatable price! ",0,,0,,https://wpappsfomo.test/wp-content/uploads/2020/07/Group-7.png,,,,,,
2948,Rockethub,rockethub,"Rockethub is a marketplace where you can find the curated and handpicked lifetime deals on software, plugins, themes and other digital products.",0,,4,https://www.rockethub.com/,https://wpappsfomo.test/wp-content/uploads/2022/12/1671111001826.png,"Rockethub is a marketplace where you can find the newest and the best deals for software. These deals are curated by our editors, who scour the market for lifetime deals on software.","Rockethub is a marketplace where you can find the newest and the best deals for software. These deals are curated by our editors, who scour the market for lifetime deals on software.",,,,
145,"SaaS Mantra",saas-mantra,"SaasMantra is a software company that provides lifetime deals for various tools to help your business grow. They provide powerful, yet simple-to-use software solutions that will make your business more productive and competitive in the global market.",0,,38,https://shop.appsfomo.com/p/qOBn/r,https://wpappsfomo.test/wp-content/uploads/2020/07/Group-3.png,,,,,,
137,SaaSwizz,saaswizz,"SaasWiz is a leading community of entrepreneurs and business professionals with the goal, SaasWiz has been featured in various media outlets, with providing exclusive lifetime deals from sellers worldwide.",0,,1,,https://wpappsfomo.test/wp-content/uploads/2020/07/Group-2.png,,,5,1,,
140,Stacksocial,stacksocial,"Stacksocial is a community of tech savvy people who love apps and software. It is one of the most trusted platform to find, buy, and share amazing deals on 25+ categories including physical gadgets.",0,,85,,https://wpappsfomo.test/wp-content/uploads/2020/07/Group-4.png,,,,,,
4919,Udemy,udemy,"Udemy is a leading online learning platform with thousands of courses on a wide range of topics. Grow professionally and personally with cutting-edge courses in business, tech, design, and more.",0,,1,https://shop.appsfomo.com/p/gyT3/r,https://wpappsfomo.test/wp-content/uploads/2023/04/default-meta-image-1-v2.png,,,,,,
